"Date","Price","Open","High","Low","Vol.","Change %"
"04/25/2025","43.75","44.09","44.09","43.47","39.23K","-0.77%"
"04/24/2025","44.09","44.54","44.54","43.84","63.97K","-1.01%"
"04/23/2025","44.54","44.43","45.64","44.27","46.86K","-1.42%"
"04/22/2025","45.18","45.27","45.42","44.93","68.15K","-0.24%"
"04/21/2025","45.29","45.00","46.00","44.48","64.27K","1.00%"
"04/17/2025","44.84","44.72","45.00","43.91","115.21K","0.70%"
"04/16/2025","44.53","44.43","44.83","44.27","84.06K","5.37%"
"04/15/2025","42.26","42.14","43.30","42.03","49.56K","0.31%"
"04/14/2025","42.13","42.23","42.42","41.82","132.30K","-1.13%"
"04/11/2025","42.61","42.16","42.64","41.79","119.78K","3.95%"
"04/10/2025","40.99","40.77","41.10","40.14","136.39K","0.29%"
"04/09/2025","40.87","39.36","40.92","38.95","366.60K","4.07%"
"04/08/2025","39.27","39.90","39.99","38.85","131.74K","-0.83%"
"04/07/2025","39.60","39.43","40.37","38.98","197.51K","-0.28%"
"04/04/2025","39.71","40.47","40.59","39.70","198.03K","-2.38%"
"04/03/2025","40.68","40.94","41.07","40.61","123.96K","0.62%"
"04/02/2025","40.43","40.37","40.67","40.24","55.96K","0.80%"
"04/01/2025","40.11","40.37","40.37","40.04","78.39K","-1.59%"
"03/31/2025","40.76","40.60","40.87","40.39","127.22K","-0.46%"
"03/28/2025","40.95","40.93","41.26","40.82","1.03M","1.82%"
"03/27/2025","40.22","40.12","40.24","40.02","151.34K","-0.02%"
"03/26/2025","40.23","40.15","40.45","40.11","168.45K","-0.49%"
"03/25/2025","40.43","40.94","40.99","40.41","42.64K","-1.04%"
"03/24/2025","40.85","41.15","41.21","40.63","52.22K","-2.73%"
"03/21/2025","42.00","41.89","42.25","41.84","297.52K","-0.15%"
"03/20/2025","42.06","41.78","42.11","41.63","54.57K","-1.21%"
"03/19/2025","42.58","42.67","42.68","42.29","58.03K","-0.40%"
"03/18/2025","42.75","42.70","42.95","42.57","52.68K","-1.02%"
"03/17/2025","43.19","42.88","43.34","42.87","110.36K","0.70%"
"03/14/2025","42.89","42.66","43.04","42.58","106.95K","1.83%"
"03/13/2025","42.12","42.30","42.59","42.03","70.87K","-2.05%"
"03/12/2025","43.00","43.28","43.28","42.80","80.22K","-1.35%"
"03/11/2025","43.59","43.76","43.82","43.23","200.71K","-0.11%"
"03/10/2025","43.64","43.87","43.97","43.47","237.53K","-1.29%"
"03/07/2025","44.21","43.45","44.28","43.45","117.16K","2.01%"
"03/06/2025","43.34","43.30","43.58","43.08","137.72K","0.03%"
"03/05/2025","43.33","43.28","43.37","42.98","212.07K","0.17%"
"03/04/2025","43.25","42.51","43.67","42.51","93.45K","2.34%"
"03/03/2025","42.26","42.22","42.68","41.97","100.48K","0.09%"
"02/28/2025","42.22","42.36","42.37","41.91","157.50K","0.79%"
"02/27/2025","41.89","42.04","42.31","41.84","171.93K","-2.13%"
"02/26/2025","42.80","43.15","43.37","42.72","169.47K","0.85%"
"02/25/2025","42.44","42.12","42.53","42.12","191.54K","1.41%"
"02/24/2025","41.85","41.07","42.09","41.07","114.06K","2.20%"
"02/21/2025","40.95","40.78","41.05","40.68","213.98K","0.54%"
"02/20/2025","40.73","40.53","40.75","40.32","94.57K","-0.02%"
"02/19/2025","40.74","40.57","40.91","40.54","163.12K","-0.83%"
"02/18/2025","41.08","40.91","41.20","40.86","231.05K","-1.30%"
"02/14/2025","41.62","41.76","42.01","41.57","103.14K","0.19%"
"02/13/2025","41.54","41.15","41.54","41.05","167.06K","2.49%"
"02/12/2025","40.53","39.94","40.58","39.73","176.76K","15.10%"
"02/11/2025","35.21","35.28","35.34","35.01","64.23K","-0.19%"
"02/10/2025","35.28","35.29","35.36","35.21","158.79K","1.00%"
"02/07/2025","34.93","35.25","35.35","34.93","126.31K","0.34%"
